Trade Number,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit
108,78257469,2024-04-11 12:45,buy,0.55,gbpusdc,1.25386,0.0,1.25542,2024-04-11 15:30,1.25547,-2.75,0.0,0.0,88.55
109,78257545,2024-04-11 13:00,sell,0.5,gbpusdc,1.25347,0.0,1.25322,2024-04-11 13:15,1.25316,-2.5,0.0,0.0,15.5
110,78257545,2024-04-11 13:00,sell,0.5,gbpusdc,1.25347,0.0,1.25322,2024-04-11 13:15,1.25316,-2.5,0.0,0.0,15.5
111,78257674,2024-04-11 13:30,sell,0.5,gbpusdc,1.25385,0.0,1.2536,2024-04-11 13:35,1.25358,-2.5,0.0,0.0,13.5
112,78257674,2024-04-11 13:30,sell,0.5,gbpusdc,1.25385,0.0,1.2536,2024-04-11 13:35,1.25358,-2.5,0.0,0.0,13.5
113,78257737,2024-04-11 13:45,sell,0.5,gbpusdc,1.25352,0.0,1.25327,2024-04-11 13:46,1.25327,-2.5,0.0,0.0,12.5
114,78257737,2024-04-11 13:45,sell,0.5,gbpusdc,1.25352,0.0,1.25327,2024-04-11 13:46,1.25327,-2.5,0.0,0.0,12.5
115,78257805,2024-04-11 14:00,sell,0.5,gbpusdc,1.25392,0.0,1.25367,2024-04-11 14:21,1.25365,-2.5,0.0,0.0,13.5
116,78257805,2024-04-11 14:00,sell,0.5,gbpusdc,1.25392,0.0,1.25367,2024-04-11 14:21,1.25365,-2.5,0.0,0.0,13.5
117,78257898,2024-04-11 14:30,sell,0.5,gbpusdc,1.2541,0.0,1.25385,2024-04-11 14:35,1.25385,-2.5,0.0,0.0,12.5
118,78257898,2024-04-11 14:30,sell,0.5,gbpusdc,1.2541,0.0,1.25385,2024-04-11 14:35,1.25385,-2.5,0.0,0.0,12.5
119,78258066,2024-04-11 14:45,sell,0.5,gbpusdc,1.2536,0.0,1.25501,2024-04-11 16:58,1.25496,-2.5,0.0,0.0,-68.0
120,78258066,2024-04-11 14:45,sell,0.5,gbpusdc,1.2536,0.0,1.25501,2024-04-11 16:58,1.25496,-2.5,0.0,0.0,-68.0
121,78259473,2024-04-11 16:00,sell,0.55,gbpusdc,1.25676,0.0,1.25501,2024-04-11 16:58,1.25496,-2.75,0.0,0.0,99.0
122,78259473,2024-04-11 16:00,sell,0.55,gbpusdc,1.25676,0.0,1.25501,2024-04-11 16:58,1.25496,-2.75,0.0,0.0,99.0
123,78260475,2024-04-11 17:00,sell,0.5,gbpusdc,1.25495,0.0,1.2547,2024-04-11 17:00,1.25469,-2.5,0.0,0.0,13.0
124,78260475,2024-04-11 17:00,sell,0.5,gbpusdc,1.25495,0.0,1.2547,2024-04-11 17:00,1.25469,-2.5,0.0,0.0,13.0
